func_name,return_type,error_val(s),mubi,biff_key,filename:linenumber
baneClipNew,baneClip *,NULL,0,bane,bane/clip.c:100
baneClipAnswer,int,1,0,bane,bane/clip.c:150
baneClipCopy,baneClip *,NULL,0,bane,bane/clip.c:165
baneFindInclusion,int,1,0,bane,bane/hvol.c:85
baneMakeHVol,int,1,0,bane,bane/hvol.c:246
baneGKMSHVol,Nrrd *,NULL,0,bane,bane/hvol.c:445
baneIncNew,baneInc *,NULL,0,bane,bane/inc.c:249
baneIncAnswer,int,1,0,bane,bane/inc.c:358
baneIncCopy,baneInc *,NULL,0,bane,bane/inc.c:373
baneMeasrNew,baneMeasr *,NULL,0,bane,bane/measr.c:31
baneMeasrCopy,baneMeasr *,NULL,0,bane,bane/measr.c:147
baneRangeNew,baneRange *,NULL,0,bane,bane/rangeBane.c:87
baneRangeCopy,baneRange *,NULL,0,bane,bane/rangeBane.c:128
baneRangeAnswer,int,1,0,bane,bane/rangeBane.c:142
baneRawScatterplots,int,1,0,bane,bane/scat.c:24
baneOpacInfo,int,1,0,bane,bane/trnsf.c:27
bane1DOpacInfoFrom2D,int,1,0,bane,bane/trnsf.c:142
baneSigmaCalc,int,1,0,bane,bane/trnsf.c:220
banePosCalc,int,1,0,bane,bane/trnsf.c:251
baneOpacCalc,int,1,0,bane,bane/trnsf.c:401
baneInputCheck,int,1,0,bane,bane/valid.c:24
baneHVolCheck,int,1,0,bane,bane/valid.c:62
baneInfoCheck,int,1,0,bane,bane/valid.c:104
banePosCheck,int,1,0,bane,bane/valid.c:142
baneBcptsCheck,int,1,0,bane,bane/valid.c:177
