func_name,return_type,error_val(s),mubi,biff_key,filename:linenumber
limnCameraUpdate,int,1,0,limn,limn/cam.c:31
limnCameraAspectSet,int,1,0,limn,limn/cam.c:128
limnCameraPathMake,int,1,0,limn,limn/cam.c:187
limnEnvMapFill,int,1,0,limn,limn/envmap.c:23
limnEnvMapCheck,int,1,0,limn,limn/envmap.c:117
limnObjectWriteOFF,int,1,0,limn,limn/io.c:77
limnPolyDataWriteIV,int,1,0,limn,limn/io.c:136
limnObjectReadOFF,int,1,0,limn,limn/io.c:262
limnPolyDataWriteLMPD,int,1,0,limn,limn/io.c:453
limnPolyDataReadLMPD,int,1,0,limn,limn/io.c:580
limnPolyDataWriteVTK,int,1,0,limn,limn/io.c:963
limnPolyDataReadOFF,int,1,0,limn,limn/io.c:1053
limnPolyDataSave,int,1,0,limn,limn/io.c:1158
limnLightUpdate,int,1,0,limn,limn/light.c:65
limnPolyDataAlloc,int,1,0,limn,limn/polydata.c:147
limnPolyDataCopy,int,1,0,limn,limn/polydata.c:226
limnPolyDataCopyN,int,1,0,limn,limn/polydata.c:258
limnPolyDataPrimitiveVertexNumber,int,1,0,limn,limn/polydata.c:549
limnPolyDataPrimitiveArea,int,1,0,limn,limn/polydata.c:571
limnPolyDataRasterize,int,1,0,limn,limn/polydata.c:629
limnPolyDataSpiralTubeWrap,int,1,0,limn,limn/polyfilter.c:24
limnPolyDataSmoothHC,int,-1,0,limn,limn/polyfilter.c:334
limnPolyDataVertexWindingFix,int,1,0,limn,limn/polymod.c:1228
limnPolyDataCCFind,int,1,0,limn,limn/polymod.c:1247
limnPolyDataPrimitiveSort,int,1,0,limn,limn/polymod.c:1378
limnPolyDataVertexWindingFlip,int,1,0,limn,limn/polymod.c:1461
limnPolyDataPrimitiveSelect,int,1,0,limn,limn/polymod.c:1490
limnPolyDataClipMulti,int,1,0,limn,limn/polymod.c:1705
limnPolyDataCompress,limnPolyData *,NULL,0,limn,limn/polymod.c:1992
limnPolyDataJoin,limnPolyData *,NULL,0,limn,limn/polymod.c:2082
limnPolyDataEdgeHalve,int,1,0,limn,limn/polymod.c:2150
limnPolyDataNeighborList,int,-1,0,limn,limn/polymod.c:2327
limnPolyDataNeighborArray,int,-1,0,limn,limn/polymod.c:2423
limnPolyDataNeighborArrayComp,int,-1,0,limn,limn/polymod.c:2463
limnPolyDataCube,int,1,0,limn,limn/polyshapes.c:25
limnPolyDataCubeTriangles,int,1,0,limn,limn/polyshapes.c:135
limnPolyDataOctahedron,int,1,0,limn,limn/polyshapes.c:345
limnPolyDataCylinder,int,1,0,limn,limn/polyshapes.c:459
limnPolyDataCone,int,1,0,limn,limn/polyshapes.c:633
limnPolyDataSuperquadric,int,1,0,limn,limn/polyshapes.c:732
limnPolyDataSpiralBetterquadric,int,1,0,limn,limn/polyshapes.c:857
limnPolyDataSpiralSuperquadric,int,1,0,limn,limn/polyshapes.c:1014
limnPolyDataPolarSphere,int,1,0,limn,limn/polyshapes.c:1032
limnPolyDataSpiralSphere,int,1,0,limn,limn/polyshapes.c:1044
limnPolyDataIcoSphere,int,1,0,limn,limn/polyshapes.c:1095
limnPolyDataPlane,int,1,0,limn,limn/polyshapes.c:1339
limnPolyDataSquare,int,1,0,limn,limn/polyshapes.c:1394
limnPolyDataSuperquadric2D,int,1,0,limn,limn/polyshapes.c:1437
limnQNDemo,int,1,0,limn,limn/qn.c:890
limnObjectRender,int,1,0,limn,limn/renderLimn.c:23
limnObjectPSDraw,int,1,0,limn,limn/renderLimn.c:182
limnObjectPSDrawConcave,int,1,0,limn,limn/renderLimn.c:312
limnSplineNrrdEvaluate,int,1,0,limn,limn/splineEval.c:321
limnSplineSample,int,1,0,limn,limn/splineEval.c:359
limnSplineTypeSpecNew,limnSplineTypeSpec *,NULL,0,limn,limn/splineMethods.c:23
limnSplineNew,limnSpline *,NULL,0,limn,limn/splineMethods.c:122
limnSplineNrrdCleverFix,int,1,0,limn,limn/splineMethods.c:247
limnSplineCleverNew,limnSpline *,NULL,0,limn,limn/splineMethods.c:392
limnSplineUpdate,int,1,0,limn,limn/splineMethods.c:420
limnSplineTypeSpecParse,limnSplineTypeSpec *,NULL,0,limn,limn/splineMisc.c:220
limnSplineParse,limnSpline *,NULL,0,limn,limn/splineMisc.c:276
limnCbfPointsNew,limnCbfPoints *,NULL,0,limn,limn/splineFit.c:175
limnCbfPointsCheck,int,1,0,limn,limn/splineFit.c:247
limnCbfCtxPrep,int,1,0,limn,limn/splineFit.c:518
limnCbfTVT,int,1,0,limn,limn/splineFit.c:786
limnCbfSingle,int,1,0,limn,limn/splineFit.c:1526
limnCbfCorners,int,1,0,limn,limn/splineFit.c:1577
limnCbfMulti,int,1,0,limn,limn/splineFit.c:1779
limnCbfGo,int,1,0,limn,limn/splineFit.c:1897
limnObjectWorldHomog,int,1,0,limn,limn/transform.c:23
limnObjectFaceNormals,int,1,0,limn,limn/transform.c:45
limnObjectSpaceTransform,int,1,0,limn,limn/transform.c:208
limnObjectFaceReverse,int,1,0,limn,limn/transform.c:333
