func_name,return_type,error_val(s),mubi,biff_key,filename:linenumber
nrrdArrayCompare,int,1,0,nrrd,nrrd/accessors.c:515
nrrdApply1DLut,int,1,0,nrrd,nrrd/apply1D.c:432
nrrdApplyMulti1DLut,int,1,0,nrrd,nrrd/apply1D.c:463
nrrdApply1DRegMap,int,1,0,nrrd,nrrd/apply1D.c:512
nrrdApplyMulti1DRegMap,int,1,0,nrrd,nrrd/apply1D.c:543
nrrd1DIrregMapCheck,int,1,0,nrrd,nrrd/apply1D.c:585
nrrd1DIrregAclCheck,int,1,0,nrrd,nrrd/apply1D.c:682
nrrd1DIrregAclGenerate,int,1,0,nrrd,nrrd/apply1D.c:814
nrrdApply1DIrregMap,int,1,0,nrrd,nrrd/apply1D.c:878
nrrdApply1DSubstitution,int,1,0,nrrd,nrrd/apply1D.c:1051
nrrdApply2DLut,int,1,0,nrrd,nrrd/apply2D.c:295
nrrdArithGamma,int,1,0,nrrd,nrrd/arith.c:48
nrrdArithSRGBGamma,int,1,0,nrrd,nrrd/arith.c:136
nrrdArithUnaryOp,int,1,0,nrrd,nrrd/arith.c:342
nrrdArithBinaryOp,int,1,0,nrrd,nrrd/arith.c:551
nrrdArithIterBinaryOpSelect,int,1,0,nrrd,nrrd/arith.c:637
nrrdArithIterBinaryOp,int,1,0,nrrd,nrrd/arith.c:724
nrrdArithTernaryOp,int,1,0,nrrd,nrrd/arith.c:874
nrrdArithIterTernaryOpSelect,int,1,0,nrrd,nrrd/arith.c:952
nrrdArithIterTernaryOp,int,1,0,nrrd,nrrd/arith.c:1040
nrrdArithAffine,int,1,0,nrrd,nrrd/arith.c:1063
nrrdArithIterAffine,int,1,0,nrrd,nrrd/arith.c:1106
nrrdAxisInfoCompare,int,1,0,nrrd,nrrd/axis.c:927
nrrdOrientationReduce,int,1,0,nrrd,nrrd/axis.c:1219
nrrdMetaDataNormalize,int,1,0,nrrd,nrrd/axis.c:1264
nrrdCCFind,int,1,0,nrrd,nrrd/cc.c:283
nrrdCCAdjacency,int,1,0,nrrd,nrrd/cc.c:543
nrrdCCMerge,int,1,0,nrrd,nrrd/cc.c:643
nrrdCCRevalue,int,1,0,nrrd,nrrd/cc.c:793
nrrdCCSettle,int,1,0,nrrd,nrrd/cc.c:820
nrrdCCValid,int,0,0,nrrd,nrrd/ccmethods.c:24
nrrdCCSize,unsigned int,1,0,nrrd,nrrd/ccmethods.c:55
nrrdDeringVerboseSet,int,1,0,nrrd,nrrd/deringNrrd.c:99
nrrdDeringLinearInterpSet,int,1,0,nrrd,nrrd/deringNrrd.c:112
nrrdDeringVerticalSeamSet,int,1,0,nrrd,nrrd/deringNrrd.c:125
nrrdDeringInputSet,int,1,0,nrrd,nrrd/deringNrrd.c:138
nrrdDeringCenterSet,int,1,0,nrrd,nrrd/deringNrrd.c:173
nrrdDeringClampPercSet,int,1,0,nrrd,nrrd/deringNrrd.c:192
nrrdDeringClampHistoBinsSet,int,1,0,nrrd,nrrd/deringNrrd.c:213
nrrdDeringRadiusScaleSet,int,1,0,nrrd,nrrd/deringNrrd.c:232
nrrdDeringThetaNumSet,int,1,0,nrrd,nrrd/deringNrrd.c:250
nrrdDeringRadialKernelSet,int,1,0,nrrd,nrrd/deringNrrd.c:268
nrrdDeringThetaKernelSet,int,1,0,nrrd,nrrd/deringNrrd.c:288
nrrdDeringExecute,int,1,0,nrrd,nrrd/deringNrrd.c:748
nrrdCheapMedian,int,1,0,nrrd,nrrd/filt.c:405
nrrdDistanceL2,int,1,0,nrrd,nrrd/filt.c:812
